"Ciudad","DescripciónCiudad","Atracción","Categoría","DescripciónAtracción","Calificación","Opiniones","Coordenadas","Enlace"
"Puerto Baquerizo Moreno (Galápagos)","","Laguna El Junco","Laguna","Laguna de agua dulce ubicada en el cráter de un volcán extinto en la parte alta de San Cristóbal (~700 msnm). Rodeada de vegetación de miconia, es hábitat de aves como fragatas que acuden a bañarse. Es la única laguna de agua dulce significativa en Galápagos","4.5/5","~100 opiniones","0.88 S, 89.52 W","https://www.tripadvisor.com/Attraction_Review-g297530-d2547103-Reviews-Laguna_El_Junco-Puerto_Baquerizo_Moreno_San_Cristobal_Galapagos_Islands.html"
"Puerto Baquerizo Moreno (Galápagos)","","Puerto Chino","Playa","Playa remota de arena blanca en la costa sureste de San Cristóbal, accesible vía terrestre y caminata corta. Rodeada de lava y arbustos, es un lugar tranquilo para descansar; suelen verse leones marinos y piqueros de patas azules en las rocas cercanas","4.5/5","~200 opiniones","0.93 S, 89.45 W","https://www.tripadvisor.com/Attraction_Review-g297530-d9728417-Reviews-Puerto_Chino_Beach-Puerto_Baquerizo_Moreno_San_Cristobal_Galapagos_Islands.html"
"Puerto Villamil (Galápagos)","Única localidad de Isla Isabela, con ~2.000 hab. Ofrece un ambiente relajado con playas vírgenes de arena blanca y lagunas con flamencos rosados, siendo un paraíso para amantes de la naturaleza en Galápagos:contentReference[oaicite:37]{index=37}","Los Túneles (Cabo Rosa)","Sitio de snorkel","Red de formaciones volcánicas semicirculares colapsadas en el mar, creando túneles y arcos parcialmente sumergidos. En este tour en lancha se realiza snorkel entre tortugas marinas, tiburones de punta blanca, caballitos de mar y piqueros de patas azules posados en las rocas","5.0/5","~300 opiniones","1.15 S, 91.40 W","https://www.tripadvisor.com/Attraction_Review-g1732554-d2625548-Reviews-Los_Tuneles-Puerto_Villamil_Isabela_Galapagos_Islands.html"
"Puerto Villamil (Galápagos)","","Islote Las Tintoreras","Islote","Pequeño archipiélago de rocas volcánicas frente a Puerto Villamil, hogar de pingüinos de Galápagos, tiburones de punta blanca (tintoreras) que descansan en canales de lava, iguanas marinas, lobos marinos y aves costeras. Se visita en tour guiado con snorkel","4.5/5","~500 opiniones","0.95 S, 90.96 W","https://www.tripadvisor.com/Attraction_Review-g1732554-d1774366-Reviews-Las_Tintoreras-Puerto_Villamil_Isabela_Galapagos_Islands.html"
"Puerto Villamil (Galápagos)","","Volcán Sierra Negra","Volcán","Volcán activo con uno de los cráteres más grandes del mundo (~10 km diámetro). Una caminata de ~9 km desde el puesto de control lleva al borde del cráter con vistas impresionantes de la caldera. Opcionalmente se continúa hacia Volcán Chico para observar fumarolas y recientes coladas de lava","4.5/5","~250 opiniones","0.83 S, 91.17 W","https://www.tripadvisor.com/Attraction_Review-g1732554-d2514161-Reviews-Sierra_Negra->
"Puerto Villamil (Galápagos)","","Concha de Perla","Laguna/Salinas","Ensenada de aguas tranquilas junto al muelle de Puerto Villamil, ideal para snorkel. Se accede por una pasarela entre manglares; allí se puede nadar con leones marinos, tortugas, rayas y coloridos peces tropicales en un entorno sereno y poco profundo","4.5/5","~320 opiniones","0.96 S, 90.97 W","https://www.tripadvisor.com/Attraction_Review-g1732554-d1511228-Reviews-Concha_de_Perla-Puerto_Villamil_Isabela_Galapagos_Islands.html"
"Puerto Villamil (Galápagos)","","Muro de las Lágrimas","Sitio histórico","Muralla de piedras volcánicas de 100 m de largo por 7 m de alto, construida manualmente por prisioneros en la colonia penal de Isabela (1945–59). Simboliza las penurias sufridas; se llega en bicicleta o caminata (~5 km del pueblo) pasando miradores y playas con iguanas","4.0/5","~250 opiniones","0.94 S, 91.46 W","https://www.tripadvisor.com/Attraction_Review-g1732554-d2547152-Reviews-The_Wall_of_Tears-Puerto_Villamil_Isabela_Galapagos_Islands.html"
"Puerto Villamil (Galápagos)","","Centro de Crianza Arnaldo Tupiza","Centro de crianza","Centro de reproducción de tortugas gigantes de Isabela, donde se las cría en cautiverio para repoblar la isla. Se pueden ver tortugas de diferentes edades, desde crías hasta adultos reproductores. Cuenta con senderos y paneles explicativos sobre conservación","4.5/5","~200 opiniones","0.94 S, 90.96 W","https://www.tripadvisor.com/Attraction_Review-g1732554-d2464215-Reviews-The_Giant_Tortoise_Breeding_Center-Puerto_Villamil_Isabela_Galapagos_Islands.html"
"Salinas","Ciudad balnearia en la Península de Santa Elena, considerada el balneario más popular de Ecuador:contentReference[oaicite:38]{index=38}. Conocida por sus playas, rascacielos estilo Miami y animada vida turística, es destino favorito especialmente en temporadas de sol","Playa de Salinas (Chipipe)","Playa","Playa principal de Salinas, de aguas tranquilas y apropiadas para nadar. Bordeada por el malecón y altos edificios, ofrece alquiler de sombrillas, deportes acuáticos y es epicentro de la actividad turística, similar a un “Miami” ecuatoriano:contentReference[oaicite:39]{index=39}","4.5/5","~350 opiniones","2.18 S, 80.98 W","https://www.tripadvisor.com/Attraction_Review-g297539-d3316862-Reviews-Chipipe_Beach-Salinas_Santa_Elena_Province.html"
"Salinas","","La Chocolatera","Mirador","Punta rocosa y acantilado dentro de la Base Naval, punto más occidental de Ecuador continental. Recibe el choque de corrientes que levantan espuma (de ahí el nombre); miradores ofrecen vistas panorámicas del Pacífico y avistamiento de ballenas en temporada","4.5/5","~200 opiniones","2.20 S, 81.02 W","https://www.tripadvisor.com/Attraction_Review-g297539-d8395311-Reviews-La_Chocolatera-Salinas_Santa_Elena_Province.html"
"Salinas","","La Lobería de Salinas","Reserva faunística","Área costera protegida cercana a la Chocolatera, hogar de una colonia de lobos marinos sudamericanos. Senderos permiten observar de cerca a los lobos descansando sobre las rocas y aves marinas. Es parte de la Reserva Marino Costera Puntilla de Santa Elena","4.5/5","~80 opiniones","2.19 S, 81.03 W","https://www.tripadvisor.com/Attraction_Review-g297539-d10450062-Reviews-La_Loberia-Salinas_Santa_Elena_Province.html"
"Salinas","","Museo de Ballenas","Museo","Museo privado enfocado en la biodiversidad marina local, con énfasis en ballenas y delfines. Exhibe esqueletos completos de cetáceos (incluida una ballena jorobada de 12 m), muestras biológicas, paneles educativos y ofrece charlas de conservación","4.5/5","~60 opiniones","2.18 S, 80.98 W","https://www.tripadvisor.com/Attraction_Review-g297539-d8546071-Reviews-Museo_de_las_Ballenas-Salinas_Santa_Elena_Province.html"
"Salinas","","Malecón de Salinas","Paseo marítimo","Avenida costera junto a la playa principal, bordeada de palmeras, restaurantes, hoteles y locales nocturnos. Es el lugar ideal para pasear al atardecer, disfrutar de gastronomía marina y del ambiente vacacional con vista a la bahía de Salinas","4.5/5","~120 opiniones","2.18 S, 80.98 W",""
"Manta","Ciudad portuaria de Manabí, importante por su industria pesquera pero también por sus playas. Punto de partida para excursiones marinas (avistamiento de ballenas) y famosa por su gastronomía marinera, combina desarrollo urbano con atractivos costeros","Playa El Murciélago","Playa","Playa urbana principal de Manta, amplia y de arena clara, con oleaje moderado. Flanqueada por malecón con restaurantes y bares. Popular para bañistas, voleibol y deportes acuáticos; cuenta con salvavidas y comodidades turísticas","4.0/5","~180 opiniones","0.95 S, 80.74 W","https://www.tripadvisor.com/Attraction_Review-g297538-d6206456-Reviews-Playa_el_Murcielago-Manta_Manabi_Province.html"
"Manta","","Playa Santa Marianita","Playa","Playa extensa a 15 km de Manta, de ambiente tranquilo y vientos constantes, conocida como destino ideal para kitesurf. Sus amplios espacios y olas suaves la hacen apta para deportes acuáticos y caminatas, con varios hostales y escuelas de kite en la zona","4.5/5","~80 opiniones","1.01 S, 80.86 W","https://www.tripadvisor.com/Attraction_Review-g297538-d3383695-Reviews-Playa_Santa_Marianita-Manta_Manabi_Province.html"
"Manta","","Refugio de Vida Silvestre Pacoche","Reserva natural","Bosque húmedo tropical costero a 25 km de Manta que protege bosque de garúa, hábitat de monos aulladores, aves y flora nativa. Senderos guiados permiten internarse entre ceibos gigantes y observar fauna. También incluye playa protegida para tortugas marinas","4.5/5","~40 opiniones","1.22 S, 80.97 W","https://www.tripadvisor.com/Attraction_Review-g297538-d2634092-Reviews-Pacoche_Wildlife_Refuge-Manta_Manabi_Province.html"
"Manta","","Museo Cancebí","Museo","Museo etnográfico y de artesanías ubicado en el centro de Manta. Exhibe la cultura y tradiciones manabitas, con salas dedicadas a la pesca, agricultura, tejido de sombreros de paja toquilla, cerámica precolombina regional y galería de arte contemporáneo","4.0/5","~50 opiniones","0.95 S, 80.72 W","https://www.tripadvisor.com/Attraction_Review-g297538-d4753301-Reviews-Cancebi_Museum-Manta_Manabi_Province.html"
"Manta","","Montecristi (ciudad cercana)","Artesanías","Pueblo histórico a 30 min de Manta, cuna del sombrero de paja toquilla. En su centro se encuentran talleres artesanales y tiendas de sombreros finos. También destaca la gran iglesia de Monserrate y un museo a Eloy Alfaro (líder liberal nacido aquí)","4.5/5","~120 opiniones","1.05 S, 80.66 W","https://www.tripadvisor.com/Attraction_Review-g297538-d7225765-Reviews-Montecristi-Manta_Manabi_Province.html"
"Manta","","Mercado de Tarqui (Mercado de Mariscos)","Mercado","Mercado popular junto a la playa de Tarqui donde llegan los pescadores al amanecer con el producto del día. Se puede ver la actividad pesquera tradicional y disfrutar de platos típicos con pescado y mariscos frescos en los comedores aledaños","4.0/5","~40 opiniones","0.97 S, 80.73 W",""
"Puerto López","Pequeña ciudad pesquera en la costa de Manabí, famosa por ser base para explorar el Parque Nacional Machalilla. Desde aquí se visitan la isla de la Plata (conocida como “Galápagos pequeño”) y la playa Los Frailes, y de junio a septiembre es centro de avistamiento de ballenas jorobadas","Isla de la Plata","Isla/Reserva","Isla oceánica parte del Parque Machalilla, llamada “Galápagos en miniatura” por su fauna similar (piqueros de patas azules, fragatas, tortugas marinas). Se accede en tour en bote (1h) que incluye caminata por la isla y snorkel; en temporada se avistan ballenas en el trayecto:contentReference[oaicite:40]{index=40}","4.5/5","~400 opiniones","1.28 S, 81.07 W","https://www.tripadvisor.com/Attraction_Review-g635730-d2634096-Reviews-Isla_de_la_Plata-Puerto_Lopez_Manabi_Province.html"
"Puerto López","","Playa Los Frailes","Playa","Considerada una de las playas más hermosas de Ecuador, de arena blanca y aguas azul turquesa, rodeada de acantilados y bosque seco tropical protegido. Ubicada dentro del Parque Machalilla a 12 km de Puerto López, se accede en vehículo + caminata. No tiene edificaciones, conservando su estado natural","5.0/5","~500 opiniones","1.55 S, 80.80 W","https://www.tripadvisor.com/Attraction_Review-g635730-d317396-Reviews-Los_Frailes_Beach-Puerto_Lopez_Manabi_Province.html"
"Puerto López","","Parque Nacional Machalilla","Parque nacional","Área protegida costera-terrestre que abarca bosques secos, zonas arqueológicas y ecosistemas marinos. Incluye la isla de la Plata, playas vírgenes (Los Frailes), bosque húmedo de Agua Blanca. Destaca por su biodiversidad de aves, arrecifes de coral y como uno de los últimos refugios del guacamayo verde en Ecuador","N/A","N/A","1.50 S, 80.80 W",""
"Puerto López","","Comunidad Agua Blanca","Sitio arqueológico","Comunidad ancestral dentro del Parque Machalilla. Ofrece un museo que exhibe piezas de la cultura Manteña (500-1500 d.C.), ruinas arqueológicas (basamentos, urnas funerarias) y una piscina natural de aguas sulfurosas donde los turistas pueden bañarse con lodo mineral","4.5/5","~180 opiniones","1.56 S, 80.73 W","https://www.tripadvisor.com/Attraction_Review-g635730-d2707863-Reviews-Agua_Blanca-Puerto_Lopez_Manabi_Province.html"
"Puerto López","","Avistamiento de Ballenas","Actividad","De junio a septiembre, tours en lancha desde Puerto López permiten observar de cerca ballenas jorobadas migratorias. Los cetáceos realizan saltos y golpes de aleta; los guías brindan información sobre su biología. Es una experiencia destacada de la temporada de costa ecuatoriana","5.0/5","(Temporada)","1.29 S, 81.07 W",""
"Tena","Capital de la provincia de Napo, en plena Amazonía ecuatoriana. Rodeada de ríos y selva, es conocida por sus paisajes exuberantes y actividades de aventura (rafting en ríos Jatunyacu y Misahuallí, kayak):contentReference[oaicite:41]{index=41}. Es la base perfecta para explorar la rica biodiversidad amazónica de la zona:contentReference[oaicite:42]{index=42}","Parque Amazónico La Isla","Parque ecológico","Parque natural en una isla en la confluencia de los ríos Tena y Pano, accesible por puente peatonal. Posee senderos interpretativos entre bosque secundario, un mirador, mini zoológico de fauna local y ofrece una primera introducción a la flora y fauna amazónicas","4.0/5","~80 opiniones","0.99 S, 77.81 W","https://www.tripadvisor.com/Attraction_Review-g789218-d4452137-Reviews-Amazonico_La_Isla_Park-Tena_Napo_Province.html"
"Tena","","Amazoonico (Rescate de Fauna)","Rescate de fauna","Centro de rescate de animales silvestres ubicado en la ribera del río Arajuno (afluente del Napo). Se accede en canoa desde Misahuallí o Ahuano. Rehabilita fauna amazónica víctima de tráfico (monos, guacamayos, ocelotes); visitas guiadas educan sobre conservación","4.5/5","~100 opiniones","1.04 S, 77.63 W","https://www.tripadvisor.com/Attraction_Review-g789218-d3382745-Reviews-Amazoonico_Tarapoa_Ecuador-Tena_Napo_Province.html"
"Tena","","Cavernas de Jumandy","Cavernas","Conjunto de cuevas de origen kárstico ubicadas cerca de Archidona (15 km de Tena). En el recorrido guiado se camina y nada por pasajes subterráneos con estalactitas, estalagmitas y colonias de murciélagos. Algunas cámaras tienen piscinas naturales donde los visitantes pueden sumergirse","4.0/5","~70 opiniones","0.92 S, 77.80 W","https://www.tripadvisor.com/Attraction_Review-g789218-d14940557-Reviews-Jumandi_Caves-Tena_Napo_Province.html"
"Tena","","Laguna Azul","Balneario natural","Conjunto de pozas naturales cristalinas alimentadas por cascadas en medio de la selva, ubicadas en la comunidad de Santa Clara (Pastaza, cerca de Tena). Es un balneario popular para nadar en aguas color turquesa, hacer clavados desde las rocas y disfrutar de un día de río en la Amazonía","4.5/5","~30 opiniones","1.20 S, 77.90 W",""
"Tena","","Río Jatunyacu","Río/Aventura","Afluente del río Napo conocido por sus excelentes rápidos de clase III. Es el escenario principal para rafting en Tena: recorridos de ~25 km ofrecen emoción en rápidos con nombres como “Piedra Loca” y tramos escénicos entre selva virgen, con paradas en playas fluviales","5.0/5","61 opiniones:contentReference[oaicite:43]{index=43}","1.07 S, 77.77 W","https://www.tripadvisor.com/Attraction_Review-g789218-d1777100-Reviews-Jatunyacu_River-Tena_Napo_Province.html"
"Puyo","Capital de Pastaza, conocida como la “puerta de entrada a la Amazonía” ecuatoriana:contentReference[oaicite:44]{index=44}. Ciudad tranquila junto a los Andes y la selva, rodeada de ríos, cascadas y comunidades indígenas, es base para ecoturismo, parques naturales y aventuras en la jungla:contentReference[oaicite:45]{index=45}","Parque Etnobotánico Omaere","Parque temático","Parque dedicado a las plantas medicinales y cultura Shuar y Achuar. Ofrece senderos guiados por bosque secundario donde se muestran diversas especies vegetales y sus usos tradicionales. Incluye chozas con exposiciones etnobotánicas y venta de artesanías","4.5/5","~50 opiniones","1.47 S, 77.99 W","https://www.tripadvisor.com/Attraction_Review-g789219-d2344546-Reviews-Omaere_Ethnobotanical_Park-Puyo_Pastaza_Province.html"
"Puyo","","Fundación Los Monos (Paseo de los Monos)","Rescate de fauna","Centro de rescate y rehabilitación de primates amazónicos. Alberga decenas de monos (choros, ardilla, capuchinos, etc.) que deambulan en semilibertad en un amplio terreno cercado. Los visitantes recorren senderos observando a los monos recuperándose y aprendiendo sobre su protección","4.5/5","~100 opiniones","1.46 S, 78.00 W","https://www.tripadvisor.com/Attraction_Review-g789219-d2548238-Reviews-Fundacion_Los_Monos_Selva_y_Vida-Puyo_Pastaza_Province.html"
"Puyo","","Reserva Hola Vida","Reserva natural","Reserva comunitaria que protege bosque húmedo a ~20 km de Puyo. La atracción principal es la cascada Hola Vida, de ~21 m de altura, con una piscina natural donde bañarse. El tour incluye caminata interpretativa por selva primaria, avistando insectos, anfibios y plantas medicinales","5.0/5","~40 opiniones","1.68 S, 77.90 W","https://www.tripadvisor.com/Attraction_Review-g789219-d2086156-Reviews-Hola_Vida_Natural_Reserve-Puyo_Pastaza_Province.html"
"Puyo","","Mirador Indichuris","Mirador","Mirador turístico en una colina selvática a las afueras de Puyo, manejado por una comunidad indígena. Ofrece vista panorámica del valle del río Pastaza y la jungla infinita. Cuenta con columpios “de vuelo” sobre el abismo (similar a Baños) y espacios para relajarse con vistas","5.0/5","~15 opiniones","1.54 S, 77.87 W","https://www.tripadvisor.com/Attraction_Review-g789219-d15662159-Reviews-Mirador_Indichuris-Puyo_Pastaza_Province.html"
"Puyo","","Centro Yana Cocha","Rescate de fauna","Centro de rescate de vida silvestre amazónica cerca de Puyo. Alberga animales huérfanos o recuperados del tráfico: jaguares, tapires, tucanes, tortugas, monos, etc., en espacios amplios. Ofrece visitas educativas guiadas para conocer estas especies y apoyar su cuidado","4.5/5","~90 opiniones","1.46 S, 78.02 W","https://www.tripadvisor.com/Attraction_Review-g789219-d7799676-Reviews-Yana_Cocha_Animal_Refuge-Puyo_Pastaza_Province.html"
"Riobamba","Ciudad andina conocida como la “Sultana de los Andes”. Destaca por su cercanía al volcán Chimborazo – el pico más alto del país – y por su importancia histórica. Es punto de partida para ascender Chimborazo y para el famoso tren de la Nariz del Diablo, lo que la convierte en base de turismo de montaña y aventura","Volcán Chimborazo","Volcán","Volcán inactivo de 6.263 m, el punto más alejado del centro de la Tierra. Se accede en vehículo hasta el Refugio Carrel (~4.850 m) y desde allí se puede caminar al Refugio Whymper (~5.000 m). Las vistas son espectaculares; es hábitat de vicuñas en la reserva que lo rodea","5.0/5","~300 opiniones","1.47 S, 78.99 W","https://www.tripadvisor.com/Attraction_Review-g303849-d314664-Reviews-Mount_Chimborazo-Riobamba_Chimborazo_Province.html"
"Riobamba","","Reserva Faunística Chimborazo","Reserva natural","Área protegida de 58.000 ha alrededor del Chimborazo, abarcando páramos altos entre 3.800–6.300 m. Protege poblaciones de vicuñas, llamas y alpacas reintroducidas, además de especies andinas como el zorro andino. Ofrece senderos escénicos con panoramas de volcanes","4.5/5","~70 opiniones","1.67 S, 78.85 W","https://www.tripadvisor.com/Attraction_Review-g303849-d10358625-Reviews-Reserva_Produccion_Faunistica_Chimborazo-Riobamba_Chimborazo_Province.html"
"Riobamba","","Laguna de Colta & Iglesia de Balbanera","Lago/Historia","Laguna andina situada 30 km al suroeste de Riobamba, de aguas poco profundas rodeadas de totora. A sus orillas se encuentra la histórica iglesia de Balbanera (1534), la más antigua del Ecuador. El paisaje combina el espejo de agua con vista del volcán Chimborazo en días despejados","4.0/5","~30 opiniones","1.90 S, 78.78 W","https://www.tripadvisor.com/Attraction_Review-g303849-d6207472-Reviews-Colta_Lagoon-Riobamba_Chimborazo_Province.html"
"Riobamba","","Catedral de Riobamba","Iglesia","También llamada Basílica Menor, es la iglesia principal de la ciudad, notable por su fachada tallada en piedra que sobrevivió al terremoto de 1797 (y fue trasladada desde la antigua Riobamba). Su exterior exhibe relieves mestizos barrocos; el interior es moderno por reconstrucciones posteriores","4.0/5","~50 opiniones","1.67 S, 78.65 W","https://www.tripadvisor.com/Attraction_Review-g303849-d8610472-Reviews-Catedral_de_Riobamba-Riobamba_Chimborazo_Province.html"
"Riobamba","","Museo y Centro Cultural Riobamba","Museo","Complejo museístico alojado en una casona patrimonial. Incluye el Museo de la Ciudad, con exposiciones sobre la historia local (desde culturas prehispánicas Puruhaes hasta la Independencia) y arte religioso; y salas de arte contemporáneo. Ofrece una visión amplia del legado cultural de Riobamba","4.5/5","~25 opiniones","1.67 S, 78.65 W",""
"Loja","Ciudad colonial del sur, conocida como la capital cultural y musical del Ecuador por su gran tradición artística:contentReference[oaicite:46]{index=46}. Destaca por su ambiente tranquilo, su patrimonio arquitectónico (Puerta de la Ciudad, iglesias) y por ser entrada al Parque Nacional Podocarpus y valle de Vilcabamba","Puerta de la Ciudad","Monumento","Icono de Loja: réplica de una antigua puerta fortificada, construida en 1998 inspirada en el escudo de la ciudad. Posee torres, puente levadizo y murallas que hoy albergan un museo de historia de Loja y un mirador. Marca el ingreso al centro histórico lojeño","4.5/5","~100 opiniones","3.99 S, 79.20 W","https://www.tripadvisor.com/Attraction_Review-g644409-d8755877-Reviews-Puerta_de_la_Ciudad-Loja_Loja_Province.html"
"Loja","","Parque Jipiro","Parque temático","Parque recreativo al norte de Loja con laguna y réplicas en miniatura de edificaciones del mundo (pagoda china, pirámide egipcia, torre Eiffel, etc.). Es un espacio familiar con áreas verdes, juegos infantiles y alquiler de botes; mezcla esparcimiento con educación cultural","4.5/5","~120 opiniones","3.98 S, 79.21 W","https://www.tripadvisor.com/Attraction_Review-g644409-d7394933-Reviews-Parque_Jipiro-Loja_Loja_Province.html"
"Loja","","Catedral Basílica de Loja","Iglesia","Iglesia matriz de Loja, con fachada neoclásica pintada de blanco y amarillo. Reconstruida varias veces desde el siglo XVI por terremotos, la actual data de 1838. En su interior sencillo destacan el altar mayor y la imagen de la Virgen de El Cisne durante sus visitas anuales","4.5/5","~60 opiniones","4.00 S, 79.20 W","https://www.tripadvisor.com/Attraction_Review-g644409-d8755880-Reviews-Catedral_de_Loja-Loja_Loja_Province.html"
"Loja","","Parque Nacional Podocarpus (Ingreso Cajanuma)","Parque nacional","Extensa área protegida de bosques nublados y páramos andinos compartida entre Loja y Zamora. Desde el sector Cajanuma (a 15 km de Loja, 2.800 msnm) parten senderos entre densa vegetación, con miradores naturales y observación de aves endémicas. El parque alberga osos de anteojos, orquídeas y los árboles de romerillo (podocarpus) que le dan nombre","5.0/5","~50 opiniones","4.10 S, 79.20 W","https://www.tripadvisor.com/Attraction_Review-g644409-d2626336-Reviews-Podocarpus_National_Park-Loja_Loja_Province.html"
"Loja","","Museo de la Música","Museo","Museo interactivo que celebra la herencia musical lojana. Exhibe instrumentos tradicionales, fotografías y biografías de compositores y artistas locales célebres. Cuenta con salas de audio donde se pueden escuchar pasillos y albazos típicos, ilustrando por qué Loja es llamada “cuna musical” del país","4.5/5","~20 opiniones","4.00 S, 79.20 W",""
"Vilcabamba","Pequeño pueblo en el valle subtropical de Malacatos (Loja), llamado el “Valle de la Longevidad” por la notable longevidad de algunos habitantes. Con clima cálido todo el año, entornos verdes y atmósfera relajada, atrae a extranjeros en busca de bienestar, retiros y vida tranquila","Valle de Vilcabamba","Valle","Valle fértil a 1.500 msnm, rodeado de montañas verdes y cultivado con frutales. Famoso por la supuesta alta longevidad de su población local, estudiada por científicos. El entorno natural invita a caminatas, cabalgatas y contacto con la naturaleza apacible del valle","N/A","N/A","4.26 S, 79.22 W",""
"Vilcabamba","","Cerro Mandango","Montaña","Imponente cerro con forma de figura reclinada (llamado “el dios dormido”) que domina Vilcabamba. Ofrece un popular sendero de ascenso (2–3 h) hasta su cima a 2.000 m, desde donde hay vistas panorámicas del valle de Vilcabamba y cordillera de los Andes circundante","N/A","N/A","4.24 S, 79.22 W",""
"Vilcabamba","","Reserva Rumi Wilco","Reserva privada","Reserva ecológica a orillas del río Vilcabamba gestionada por una familia. Protege bosque seco premontano con senderos autoguiados que muestran flora nativa y ofrecen chance de avistar aves. Cuenta con áreas de camping y cabañas ecológicas para visitantes","4.5/5","~20 opiniones","4.26 S, 79.23 W","https://www.tripadvisor.com/Attraction_Review-g635730-d10420861-Reviews-Rumi_Wilco_Nature_Reserve-Vilcabamba_Loja_Province.html"
"Zaruma","Ciudad histórica asentada en las montañas de El Oro, célebre por su arquitectura republicana de madera multicolor y su pasado minero aurífero. Declarada Patrimonio Cultural del Ecuador, sus callejuelas empinadas y balcones ornamentados la hacen un pintoresco destino cultural en la región sur","Centro Histórico de Zaruma","Arquitectura urbana","Conjunto urbano patrimonial de casas de madera con balcones trabajados, pintadas de vivos colores. Recorriendo sus calles estrechas se aprecia la atmósfera nostálgica de la bonanza minera de principios del siglo XX. La Plaza Central, el Palacio Municipal y museos mineros destacan en el recorrido","N/A","N/A","3.70 S, 79.61 W",""
"Zaruma","","Mina El Sexmo","Atracción histórica","Galería minera a pocos minutos del centro, habilitada para turismo. Permite internarse en uno de los túneles originales de extracción de oro usados desde época colonial. Guiado por ex-mineros, el recorrido muestra vetas de cuarzo, herramientas antiguas y explica la historia de la fiebre del oro zarumeña","4.5/5","~30 opiniones","3.70 S, 79.60 W","https://www.tripadvisor.com/Attraction_Review-g2345979-d2335032-Reviews-El_Sexmo_Mine-Zaruma_El_Oro_Province.html"
"Zaruma","","Santuario de la Virgen del Carmen","Iglesia","Iglesia matriz de Zaruma, construida en 1912 en estilo neogótico con madera. De fachada beige y campanario único, se alza en una colina dominando la ciudad. Su interior, de una sola nave, resguarda la venerada imagen de la Virgen del Carmen, patrona de los mineros zarumeños","4.5/5","~10 opiniones","3.70 S, 79.61 W",""
"Papallacta","Pueblo andino a 3.300 msnm en los páramos al oriente de Quito, famoso por sus fuentes termales de origen volcánico. Rodeado de montañas y enclavado en la Reserva Cayambe-Coca, es un destino popular de salud y relajación en aguas termales con vistas naturales:contentReference[oaicite:47]{index=47}","Termas de Papallacta","Termas/Balneario","Complejo de piscinas termales al aire libre alimentadas por aguas geotermales cristalinas (51°C en la fuente, reguladas a ~36–40°C). Ofrece áreas de spa, hidroterapia y piscinas de diferentes temperaturas rodeadas de paisaje montañoso andino","4.5/5","~700 opiniones","0.37 S, 78.14 W","https://www.tripadvisor.com/Attraction_Review-g677337-d315370-Reviews-Termas_de_Papallacta-Papallacta_Napo_Province.html"
"Papallacta","","Laguna Papallacta","Lago","Lago de origen glaciar cercano al pueblo, rodeado de páramo. Sus aguas frías contrastan con las termales de la zona. Se llega en vehículo; es utilizado para pesca deportiva de truchas. Desde sus orillas se observan aves acuáticas andinas y ocasionalmente venados en las laderas","N/A","N/A","0.37 S, 78.13 W",""
"Papallacta","","Reserva Cayambe-Coca (senderos)","Reserva natural","Área protegida que rodea Papallacta, con ecosistemas de páramo, bosques altos y lagunas. Desde la entrada junto a las termas parten senderos como “Sol de Agua” que permiten caminatas cortas entre pantanos de altura, observación de frailejones, posibles avistamientos de osos de anteojos y vistas hacia nevados (Cayambe, Antisana) si el clima lo permite","N/A","N/A","0.33 S, 78.14 W",""
"Alausí","Pequeña ciudad andina famosa por el ferrocarril de la Nariz del Diablo. Sus coloridas casas se asientan en la ladera de un valle. Es un pueblo patrimonial tranquilo cuya principal atracción es el vertiginoso recorrido en tren que desciende la montaña zigzagueando, considerado una hazaña de ingeniería ferroviaria","Tren Nariz del Diablo","Tren escénico","Ferrocarril turístico que recorre un tramo histórico de la línea Transandina, descendiendo por la “Nariz del Diablo”, formación rocosa casi vertical. El tren realiza zigzags para salvar el pronunciado desnivel. El viaje ofrece vistas espectaculares de cañones y dura ~2.5 h ida/vuelta desde Alausí:contentReference[oaicite:48]{index=48}","4.5/5","~300 opiniones","2.20 S, 78.85 W","https://www.tripadvisor.com/Attraction_Review-g2651931-d318718-Reviews-Tren_Cruz_del_Diablo-Alausi_Chimborazo_Province.html"
"Alausí","","Mirador San Pedro","Mirador","Estatua gigante del apóstol San Pedro de 21 m de alto ubicada en lo alto de Alausí. Representa al santo patrono de la ciudad. Desde la base de la estatua se tiene una vista panorámica de 360° de la ciudad con sus techos de teja, el río Chanchán y las montañas circundantes","4.5/5","~20 opiniones","2.19 S, 78.85 W","https://www.tripadvisor.com/Attraction_Review-g2651931-d12835211-Reviews-Mirador_de_San_Pedro-Alausi_Chimborazo_Province.html"
"Alausí","","Iglesia Matriz de Alausí","Iglesia","Templo principal de Alausí, dedicado a San Pedro. De fachada sencilla y blanqueada, con un campanario esbelto. En su interior austero destacan algunos vitrales y la imagen de San Pedro que sale en procesión en las fiestas locales. Ubicada frente al parque central, es parte del conjunto patrimonial de la ciudad","4.0/5","~10 opiniones","2.20 S, 78.85 W",""
